Frequency_Hz,Node1_Mag_dB,Node1_Phase_deg
1e+010,33.9794,0
1.009e+010,33.9794,0
1.018e+010,33.9794,0
1.027e+010,33.9794,0
1.036e+010,33.9794,0
1.045e+010,33.9794,0
1.054e+010,33.9794,0
1.063e+010,33.9794,0
1.072e+010,33.9794,0
1.081e+010,33.9794,0
1.09e+010,33.9794,0
1.099e+010,33.9794,0
1.108e+010,33.9794,0
1.117e+010,33.9794,0
1.126e+010,33.9794,0
1.135e+010,33.9794,0
1.144e+010,33.9794,0
1.153e+010,33.9794,0
1.162e+010,33.9794,0
1.171e+010,33.9794,0
1.18e+010,33.9794,0
1.189e+010,33.9794,0
1.198e+010,33.9794,0
1.207e+010,33.9794,0
1.216e+010,33.9794,0
1.225e+010,33.9794,0
1.234e+010,33.9794,0
1.243e+010,33.9794,0
1.252e+010,33.9794,0
1.261e+010,33.9794,0
1.27e+010,33.9794,0
1.279e+010,33.9794,0
1.288e+010,33.9794,0
1.297e+010,33.9794,0
1.306e+010,33.9794,0
1.315e+010,33.9794,0
1.324e+010,33.9794,0
1.333e+010,33.9794,0
1.342e+010,33.9794,0
1.351e+010,33.9794,0
1.36e+010,33.9794,0
1.369e+010,33.9794,0
1.378e+010,33.9794,0
1.387e+010,33.9794,0
1.396e+010,33.9794,0
1.405e+010,33.9794,0
1.414e+010,33.9794,0
1.423e+010,33.9794,0
1.432e+010,33.9794,0
1.441e+010,33.9794,0
1.45e+010,33.9794,0
1.459e+010,33.9794,0
1.468e+010,33.9794,0
1.477e+010,33.9794,0
1.486e+010,33.9794,0
1.495e+010,33.9794,0
1.504e+010,33.9794,0
1.513e+010,33.9794,0
1.522e+010,33.9794,0
1.531e+010,33.9794,0
1.54e+010,33.9794,0
1.549e+010,33.9794,0
1.558e+010,33.9794,0
1.567e+010,33.9794,0
1.576e+010,33.9794,0
1.585e+010,33.9794,0
1.594e+010,33.9794,0
1.603e+010,33.9794,0
1.612e+010,33.9794,0
1.621e+010,33.9794,0
1.63e+010,33.9794,0
1.639e+010,33.9794,0
1.648e+010,33.9794,0
1.657e+010,33.9794,0
1.666e+010,33.9794,0
1.675e+010,33.9794,0
1.684e+010,33.9794,0
1.693e+010,33.9794,0
1.702e+010,33.9794,0
1.711e+010,33.9794,0
1.72e+010,33.9794,0
1.729e+010,33.9794,0
1.738e+010,33.9794,0
1.747e+010,33.9794,0
1.756e+010,33.9794,0
1.765e+010,33.9794,0
1.774e+010,33.9794,0
1.783e+010,33.9794,0
1.792e+010,33.9794,0
1.801e+010,33.9794,0
1.81e+010,33.9794,0
1.819e+010,33.9794,0
1.828e+010,33.9794,0
1.837e+010,33.9794,0
1.846e+010,33.9794,0
1.855e+010,33.9794,0
1.864e+010,33.9794,0
1.873e+010,33.9794,0
1.882e+010,33.9794,0
1.891e+010,33.9794,0
1.9e+010,33.9794,0
1.909e+010,33.9794,0
1.918e+010,33.9794,0
1.927e+010,33.9794,0
1.936e+010,33.9794,0
1.945e+010,33.9794,0
1.954e+010,33.9794,0
1.963e+010,33.9794,0
1.972e+010,33.9794,0
1.981e+010,33.9794,0
1.99e+010,33.9794,0
1.999e+010,33.9794,0
2.008e+010,33.9794,0
2.017e+010,33.9794,0
2.026e+010,33.9794,0
2.035e+010,33.9794,0
2.044e+010,33.9794,0
2.053e+010,33.9794,0
2.062e+010,33.9794,0
2.071e+010,33.9794,0
2.08e+010,33.9794,0
2.089e+010,33.9794,0
2.098e+010,33.9794,0
2.107e+010,33.9794,0
2.116e+010,33.9794,0
2.125e+010,33.9794,0
2.134e+010,33.9794,0
2.143e+010,33.9794,0
2.152e+010,33.9794,0
2.161e+010,33.9794,0
2.17e+010,33.9794,0
2.179e+010,33.9794,0
2.188e+010,33.9794,0
2.197e+010,33.9794,0
2.206e+010,33.9794,0
2.215e+010,33.9794,0
2.224e+010,33.9794,0
2.233e+010,33.9794,0
2.242e+010,33.9794,0
2.251e+010,33.9794,0
2.26e+010,33.9794,0
2.269e+010,33.9794,0
2.278e+010,33.9794,0
2.287e+010,33.9794,0
2.296e+010,33.9794,0
2.305e+010,33.9794,0
2.314e+010,33.9794,0
2.323e+010,33.9794,0
2.332e+010,33.9794,0
2.341e+010,33.9794,0
2.35e+010,33.9794,0
2.359e+010,33.9794,0
2.368e+010,33.9794,0
2.377e+010,33.9794,0
2.386e+010,33.9794,0
2.395e+010,33.9794,0
2.404e+010,33.9794,0
2.413e+010,33.9794,0
2.422e+010,33.9794,0
2.431e+010,33.9794,0
2.44e+010,33.9794,0
2.449e+010,33.9794,0
2.458e+010,33.9794,0
2.467e+010,33.9794,0
2.476e+010,33.9794,0
2.485e+010,33.9794,0
2.494e+010,33.9794,0
2.503e+010,33.9794,0
2.512e+010,33.9794,0
2.521e+010,33.9794,0
2.53e+010,33.9794,0
2.539e+010,33.9794,0
2.548e+010,33.9794,0
2.557e+010,33.9794,0
2.566e+010,33.9794,0
2.575e+010,33.9794,0
2.584e+010,33.9794,0
2.593e+010,33.9794,0
2.602e+010,33.9794,0
2.611e+010,33.9794,0
2.62e+010,33.9794,0
2.629e+010,33.9794,0
2.638e+010,33.9794,0
2.647e+010,33.9794,0
2.656e+010,33.9794,0
2.665e+010,33.9794,0
2.674e+010,33.9794,0
2.683e+010,33.9794,0
2.692e+010,33.9794,0
2.701e+010,33.9794,0
2.71e+010,33.9794,0
2.719e+010,33.9794,0
2.728e+010,33.9794,0
2.737e+010,33.9794,0
2.746e+010,33.9794,0
2.755e+010,33.9794,0
2.764e+010,33.9794,0
2.773e+010,33.9794,0
2.782e+010,33.9794,0
2.791e+010,33.9794,0
2.8e+010,33.9794,0
2.809e+010,33.9794,0
2.818e+010,33.9794,0
2.827e+010,33.9794,0
2.836e+010,33.9794,0
2.845e+010,33.9794,0
2.854e+010,33.9794,0
2.863e+010,33.9794,0
2.872e+010,33.9794,0
2.881e+010,33.9794,0
2.89e+010,33.9794,0
2.899e+010,33.9794,0
2.908e+010,33.9794,0
2.917e+010,33.9794,0
2.926e+010,33.9794,0
2.935e+010,33.9794,0
2.944e+010,33.9794,0
2.953e+010,33.9794,0
2.962e+010,33.9794,0
2.971e+010,33.9794,0
2.98e+010,33.9794,0
2.989e+010,33.9794,0
2.998e+010,33.9794,0
3.007e+010,33.9794,0
3.016e+010,33.9794,0
3.025e+010,33.9794,0
3.034e+010,33.9794,0
3.043e+010,33.9794,0
3.052e+010,33.9794,0
3.061e+010,33.9794,0
3.07e+010,33.9794,0
3.079e+010,33.9794,0
3.088e+010,33.9794,0
3.097e+010,33.9794,0
3.106e+010,33.9794,0
3.115e+010,33.9794,0
3.124e+010,33.9794,0
3.133e+010,33.9794,0
3.142e+010,33.9794,0
3.151e+010,33.9794,0
3.16e+010,33.9794,0
3.169e+010,33.9794,0
3.178e+010,33.9794,0
3.187e+010,33.9794,0
3.196e+010,33.9794,0
3.205e+010,33.9794,0
3.214e+010,33.9794,0
3.223e+010,33.9794,0
3.232e+010,33.9794,0
3.241e+010,33.9794,0
3.25e+010,33.9794,0
3.259e+010,33.9794,0
3.268e+010,33.9794,0
3.277e+010,33.9794,0
3.286e+010,33.9794,0
3.295e+010,33.9794,0
3.304e+010,33.9794,0
3.313e+010,33.9794,0
3.322e+010,33.9794,0
3.331e+010,33.9794,0
3.34e+010,33.9794,0
3.349e+010,33.9794,0
3.358e+010,33.9794,0
3.367e+010,33.9794,0
3.376e+010,33.9794,0
3.385e+010,33.9794,0
3.394e+010,33.9794,0
3.403e+010,33.9794,0
3.412e+010,33.9794,0
3.421e+010,33.9794,0
3.43e+010,33.9794,0
3.439e+010,33.9794,0
3.448e+010,33.9794,0
3.457e+010,33.9794,0
3.466e+010,33.9794,0
3.475e+010,33.9794,0
3.484e+010,33.9794,0
3.493e+010,33.9794,0
3.502e+010,33.9794,0
3.511e+010,33.9794,0
3.52e+010,33.9794,0
3.529e+010,33.9794,0
3.538e+010,33.9794,0
3.547e+010,33.9794,0
3.556e+010,33.9794,0
3.565e+010,33.9794,0
3.574e+010,33.9794,0
3.583e+010,33.9794,0
3.592e+010,33.9794,0
3.601e+010,33.9794,0
3.61e+010,33.9794,0
3.619e+010,33.9794,0
3.628e+010,33.9794,0
3.637e+010,33.9794,0
3.646e+010,33.9794,0
3.655e+010,33.9794,0
3.664e+010,33.9794,0
3.673e+010,33.9794,0
3.682e+010,33.9794,0
3.691e+010,33.9794,0
3.7e+010,33.9794,0
3.709e+010,33.9794,0
3.718e+010,33.9794,0
3.727e+010,33.9794,0
3.736e+010,33.9794,0
3.745e+010,33.9794,0
3.754e+010,33.9794,0
3.763e+010,33.9794,0
3.772e+010,33.9794,0
3.781e+010,33.9794,0
3.79e+010,33.9794,0
3.799e+010,33.9794,0
3.808e+010,33.9794,0
3.817e+010,33.9794,0
3.826e+010,33.9794,0
3.835e+010,33.9794,0
3.844e+010,33.9794,0
3.853e+010,33.9794,0
3.862e+010,33.9794,0
3.871e+010,33.9794,0
3.88e+010,33.9794,0
3.889e+010,33.9794,0
3.898e+010,33.9794,0
3.907e+010,33.9794,0
3.916e+010,33.9794,0
3.925e+010,33.9794,0
3.934e+010,33.9794,0
3.943e+010,33.9794,0
3.952e+010,33.9794,0
3.961e+010,33.9794,0
3.97e+010,33.9794,0
3.979e+010,33.9794,0
3.988e+010,33.9794,0
3.997e+010,33.9794,0
4.006e+010,33.9794,0
4.015e+010,33.9794,0
4.024e+010,33.9794,0
4.033e+010,33.9794,0
4.042e+010,33.9794,0
4.051e+010,33.9794,0
4.06e+010,33.9794,0
4.069e+010,33.9794,0
4.078e+010,33.9794,0
4.087e+010,33.9794,0
4.096e+010,33.9794,0
4.105e+010,33.9794,0
4.114e+010,33.9794,0
4.123e+010,33.9794,0
4.132e+010,33.9794,0
4.141e+010,33.9794,0
4.15e+010,33.9794,0
4.159e+010,33.9794,0
4.168e+010,33.9794,0
4.177e+010,33.9794,0
4.186e+010,33.9794,0
4.195e+010,33.9794,0
4.204e+010,33.9794,0
4.213e+010,33.9794,0
4.222e+010,33.9794,0
4.231e+010,33.9794,0
4.24e+010,33.9794,0
4.249e+010,33.9794,0
4.258e+010,33.9794,0
4.267e+010,33.9794,0
4.276e+010,33.9794,0
4.285e+010,33.9794,0
4.294e+010,33.9794,0
4.303e+010,33.9794,0
4.312e+010,33.9794,0
4.321e+010,33.9794,0
4.33e+010,33.9794,0
4.339e+010,33.9794,0
4.348e+010,33.9794,0
4.357e+010,33.9794,0
4.366e+010,33.9794,0
4.375e+010,33.9794,0
4.384e+010,33.9794,0
4.393e+010,33.9794,0
4.402e+010,33.9794,0
4.411e+010,33.9794,0
4.42e+010,33.9794,0
4.429e+010,33.9794,0
4.438e+010,33.9794,0
4.447e+010,33.9794,0
4.456e+010,33.9794,0
4.465e+010,33.9794,0
4.474e+010,33.9794,0
4.483e+010,33.9794,0
4.492e+010,33.9794,0
4.501e+010,33.9794,0
4.51e+010,33.9794,0
4.519e+010,33.9794,0
4.528e+010,33.9794,0
4.537e+010,33.9794,0
4.546e+010,33.9794,0
4.555e+010,33.9794,0
4.564e+010,33.9794,0
4.573e+010,33.9794,0
4.582e+010,33.9794,0
4.591e+010,33.9794,0
4.6e+010,33.9794,0
4.609e+010,33.9794,0
4.618e+010,33.9794,0
4.627e+010,33.9794,0
4.636e+010,33.9794,0
4.645e+010,33.9794,0
4.654e+010,33.9794,0
4.663e+010,33.9794,0
4.672e+010,33.9794,0
4.681e+010,33.9794,0
4.69e+010,33.9794,0
4.699e+010,33.9794,0
4.708e+010,33.9794,0
4.717e+010,33.9794,0
4.726e+010,33.9794,0
4.735e+010,33.9794,0
4.744e+010,33.9794,0
4.753e+010,33.9794,0
4.762e+010,33.9794,0
4.771e+010,33.9794,0
4.78e+010,33.9794,0
4.789e+010,33.9794,0
4.798e+010,33.9794,0
4.807e+010,33.9794,0
4.816e+010,33.9794,0
4.825e+010,33.9794,0
4.834e+010,33.9794,0
4.843e+010,33.9794,0
4.852e+010,33.9794,0
4.861e+010,33.9794,0
4.87e+010,33.9794,0
4.879e+010,33.9794,0
4.888e+010,33.9794,0
4.897e+010,33.9794,0
4.906e+010,33.9794,0
4.915e+010,33.9794,0
4.924e+010,33.9794,0
4.933e+010,33.9794,0
4.942e+010,33.9794,0
4.951e+010,33.9794,0
4.96e+010,33.9794,0
4.969e+010,33.9794,0
4.978e+010,33.9794,0
4.987e+010,33.9794,0
4.996e+010,33.9794,0
5.005e+010,33.9794,0
5.014e+010,33.9794,0
5.023e+010,33.9794,0
5.032e+010,33.9794,0
5.041e+010,33.9794,0
5.05e+010,33.9794,0
5.059e+010,33.9794,0
5.068e+010,33.9794,0
5.077e+010,33.9794,0
5.086e+010,33.9794,0
5.095e+010,33.9794,0
5.104e+010,33.9794,0
5.113e+010,33.9794,0
5.122e+010,33.9794,0
5.131e+010,33.9794,0
5.14e+010,33.9794,0
5.149e+010,33.9794,0
5.158e+010,33.9794,0
5.167e+010,33.9794,0
5.176e+010,33.9794,0
5.185e+010,33.9794,0
5.194e+010,33.9794,0
5.203e+010,33.9794,0
5.212e+010,33.9794,0
5.221e+010,33.9794,0
5.23e+010,33.9794,0
5.239e+010,33.9794,0
5.248e+010,33.9794,0
5.257e+010,33.9794,0
5.266e+010,33.9794,0
5.275e+010,33.9794,0
5.284e+010,33.9794,0
5.293e+010,33.9794,0
5.302e+010,33.9794,0
5.311e+010,33.9794,0
5.32e+010,33.9794,0
5.329e+010,33.9794,0
5.338e+010,33.9794,0
5.347e+010,33.9794,0
5.356e+010,33.9794,0
5.365e+010,33.9794,0
5.374e+010,33.9794,0
5.383e+010,33.9794,0
5.392e+010,33.9794,0
5.401e+010,33.9794,0
5.41e+010,33.9794,0
5.419e+010,33.9794,0
5.428e+010,33.9794,0
5.437e+010,33.9794,0
5.446e+010,33.9794,0
5.455e+010,33.9794,0
5.464e+010,33.9794,0
5.473e+010,33.9794,0
5.482e+010,33.9794,0
